,0_freq,1_freq,2_freq,3_freq,4_freq,5_freq,6_freq,7_freq,8_freq,9_freq,area_total,area_delta,phi
0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1.6
1,0,1,0,0,0,0,1,0,0,0,0.0,0.0,1.61
2,0,1,0,0,0,0,1,0,1,0,0.0,0.0,1.618
3,1,1,0,0,0,0,1,0,1,0,0.07,0.07,1.6180
4,1,1,0,1,0,0,1,0,1,0,0.07,0.0,1.61803
5,1,1,0,2,0,0,1,0,1,0,0.07,0.0,1.618033
6,1,1,0,2,0,0,1,0,1,1,0.22,0.15,1.6180339
7,1,1,0,2,0,0,1,0,2,1,0.29,0.07,1.61803398
8,1,1,0,2,0,0,1,0,3,1,0.36,0.07,1.618033988
9,1,1,0,2,0,0,1,1,3,1,0.65,0.29,1.6180339887
10,1,1,0,2,1,0,1,1,3,1,0.8,0.15,1.61803398874
11,1,1,0,2,1,0,1,1,3,2,1.09,0.29,1.618033988749
12,1,1,0,2,1,0,1,1,4,2,1.31,0.22,1.6180339887498
13,1,1,0,2,1,0,1,1,4,3,1.68,0.37,1.61803398874989
14,1,1,0,2,2,0,1,1,4,3,1.83,0.15,1.618033988749894
15,1,1,0,2,2,0,1,1,5,3,2.12,0.29,1.6180339887498948
16,1,1,0,2,3,0,1,1,5,3,2.27,0.15,1.61803398874989484
17,1,1,0,2,3,0,1,1,6,3,2.56,0.29,1.618033988749894848
18,1,1,1,2,3,0,1,1,6,3,2.78,0.22,1.6180339887498948482
19,2,1,1,2,3,0,1,1,6,3,3.07,0.29,1.61803398874989484820
20,2,1,1,2,4,0,1,1,6,3,3.22,0.15,1.618033988749894848204
21,2,1,1,2,4,1,1,1,6,3,3.59,0.37,1.6180339887498948482045
22,2,1,1,2,4,1,1,1,7,3,3.88,0.29,1.61803398874989484820458
23,2,1,1,2,4,1,2,1,7,3,4.03,0.15,1.618033988749894848204586
24,2,1,1,2,4,1,2,1,8,3,4.32,0.29,1.6180339887498948482045868
25,2,1,1,3,4,1,2,1,8,3,4.69,0.37,1.61803398874989484820458683
26,2,1,1,3,5,1,2,1,8,3,4.98,0.29,1.618033988749894848204586834
27,2,1,1,4,5,1,2,1,8,3,5.42,0.44,1.6180339887498948482045868343
28,2,1,1,4,5,1,3,1,8,3,5.57,0.15,1.61803398874989484820458683436
29,2,1,1,4,5,2,3,1,8,3,6.16,0.59,1.618033988749894848204586834365
30,2,1,1,4,5,2,4,1,8,3,6.38,0.22,1.6180339887498948482045868343656
31,2,1,1,5,5,2,4,1,8,3,6.82,0.44,1.61803398874989484820458683436563
32,2,1,1,5,5,2,4,1,9,3,7.11,0.29,1.618033988749894848204586834365638
33,2,2,1,5,5,2,4,1,9,3,7.33,0.22,1.6180339887498948482045868343656381
34,2,3,1,5,5,2,4,1,9,3,7.55,0.22,1.61803398874989484820458683436563811
35,2,3,1,5,5,2,4,2,9,3,8.51,0.96,1.618033988749894848204586834365638117
36,2,3,1,5,5,2,4,3,9,3,9.47,0.96,1.6180339887498948482045868343656381177
37,2,3,2,5,5,2,4,3,9,3,10.06,0.59,1.61803398874989484820458683436563811772
38,3,3,2,5,5,2,4,3,9,3,10.5,0.44,1.618033988749894848204586834365638117720
39,3,3,2,6,5,2,4,3,9,3,11.01,0.51,1.6180339887498948482045868343656381177203
40,4,3,2,6,5,2,4,3,9,3,11.45,0.44,1.61803398874989484820458683436563811772030
41,4,3,2,6,5,2,4,3,9,4,12.41,0.96,1.618033988749894848204586834365638117720309
42,4,4,2,6,5,2,4,3,9,4,12.85,0.44,1.6180339887498948482045868343656381177203091
43,4,4,2,6,5,2,4,4,9,4,13.81,0.96,1.61803398874989484820458683436563811772030917
44,4,4,2,6,5,2,4,4,9,5,14.77,0.96,1.618033988749894848204586834365638117720309179
45,4,4,2,6,5,2,4,4,10,5,15.43,0.66,1.6180339887498948482045868343656381177203091798
46,5,4,2,6,5,2,4,4,10,5,16.09,0.66,1.61803398874989484820458683436563811772030917980
47,5,4,2,6,5,3,4,4,10,5,16.75,0.66,1.618033988749894848204586834365638117720309179805
48,5,4,2,6,5,3,4,5,10,5,17.78,1.03,1.6180339887498948482045868343656381177203091798057
49,5,4,2,6,5,3,5,5,10,5,18.37,0.59,1.61803398874989484820458683436563811772030917980576
50,5,4,3,6,5,3,5,5,10,5,19.1,0.73,1.618033988749894848204586834365638117720309179805762
51,5,4,3,6,5,3,5,5,11,5,19.83,0.73,1.6180339887498948482045868343656381177203091798057628
52,5,4,3,6,5,3,6,5,11,5,20.42,0.59,1.61803398874989484820458683436563811772030917980576286
53,5,4,4,6,5,3,6,5,11,5,21.15,0.73,1.618033988749894848204586834365638117720309179805762862
54,5,5,4,6,5,3,6,5,11,5,21.81,0.66,1.6180339887498948482045868343656381177203091798057628621
55,5,5,4,7,5,3,6,5,11,5,22.47,0.66,1.61803398874989484820458683436563811772030917980576286213
56,5,5,4,7,5,4,6,5,11,5,23.28,0.81,1.618033988749894848204586834365638117720309179805762862135
57,5,5,4,7,6,4,6,5,11,5,24.09,0.81,1.6180339887498948482045868343656381177203091798057628621354
58,5,5,4,7,7,4,6,5,11,5,24.9,0.81,1.61803398874989484820458683436563811772030917980576286213544
59,5,5,4,7,7,4,6,5,12,5,25.63,0.73,1.618033988749894848204586834365638117720309179805762862135448
60,5,5,4,7,7,4,7,5,12,5,26.29,0.66,1.6180339887498948482045868343656381177203091798057628621354486
61,5,5,5,7,7,4,7,5,12,5,27.17,0.88,1.61803398874989484820458683436563811772030917980576286213544862
62,5,5,6,7,7,4,7,5,12,5,28.05,0.88,1.618033988749894848204586834365638117720309179805762862135448622
63,5,5,6,7,7,4,7,6,12,5,29.45,1.4,1.6180339887498948482045868343656381177203091798057628621354486227
64,6,5,6,7,7,4,7,6,12,5,30.18,0.73,1.61803398874989484820458683436563811772030917980576286213544862270
65,6,5,6,7,7,5,7,6,12,5,31.21,1.03,1.618033988749894848204586834365638117720309179805762862135448622705
66,6,5,7,7,7,5,7,6,12,5,32.09,0.88,1.6180339887498948482045868343656381177203091798057628621354486227052
67,6,5,7,7,7,5,8,6,12,5,32.9,0.81,1.61803398874989484820458683436563811772030917980576286213544862270526
68,7,5,7,7,7,5,8,6,12,5,33.63,0.73,1.618033988749894848204586834365638117720309179805762862135448622705260
69,7,5,7,7,8,5,8,6,12,5,34.51,0.88,1.6180339887498948482045868343656381177203091798057628621354486227052604
70,7,5,7,7,8,5,9,6,12,5,35.32,0.81,1.61803398874989484820458683436563811772030917980576286213544862270526046
71,7,5,8,7,8,5,9,6,12,5,36.2,0.88,1.618033988749894848204586834365638117720309179805762862135448622705260462
72,7,5,8,7,8,5,9,6,13,5,37.01,0.81,1.6180339887498948482045868343656381177203091798057628621354486227052604628
73,7,6,8,7,8,5,9,6,13,5,38.11,1.1,1.61803398874989484820458683436563811772030917980576286213544862270526046281
74,7,6,8,7,8,5,9,6,14,5,38.92,0.81,1.618033988749894848204586834365638117720309179805762862135448622705260462818
75,7,6,8,7,8,5,9,6,14,6,40.46,1.54,1.6180339887498948482045868343656381177203091798057628621354486227052604628189
76,8,6,8,7,8,5,9,6,14,6,41.34,0.88,1.61803398874989484820458683436563811772030917980576286213544862270526046281890
77,8,6,9,7,8,5,9,6,14,6,42.3,0.96,1.618033988749894848204586834365638117720309179805762862135448622705260462818902
78,8,6,9,7,9,5,9,6,14,6,43.18,0.88,1.6180339887498948482045868343656381177203091798057628621354486227052604628189024
79,8,6,9,7,10,5,9,6,14,6,44.06,0.88,1.61803398874989484820458683436563811772030917980576286213544862270526046281890244
80,8,6,9,7,10,5,9,6,14,7,45.68,1.62,1.618033988749894848204586834365638117720309179805762862135448622705260462818902449
81,8,6,9,7,10,5,9,7,14,7,47.37,1.69,1.6180339887498948482045868343656381177203091798057628621354486227052604628189024497
82,9,6,9,7,10,5,9,7,14,7,48.33,0.96,1.61803398874989484820458683436563811772030917980576286213544862270526046281890244970
83,9,6,9,7,10,5,9,8,14,7,50.02,1.69,1.618033988749894848204586834365638117720309179805762862135448622705260462818902449707
84,9,6,10,7,10,5,9,8,14,7,50.98,0.96,1.6180339887498948482045868343656381177203091798057628621354486227052604628189024497072
85,10,6,10,7,10,5,9,8,14,7,51.94,0.96,1.61803398874989484820458683436563811772030917980576286213544862270526046281890244970720
86,10,6,10,7,10,5,9,9,14,7,53.63,1.69,1.618033988749894848204586834365638117720309179805762862135448622705260462818902449707207
87,10,6,11,7,10,5,9,9,14,7,54.59,0.96,1.6180339887498948482045868343656381177203091798057628621354486227052604628189024497072072
88,11,6,11,7,10,5,9,9,14,7,55.55,0.96,1.61803398874989484820458683436563811772030917980576286213544862270526046281890244970720720
89,11,6,11,7,11,5,9,9,14,7,56.43,0.88,1.618033988749894848204586834365638117720309179805762862135448622705260462818902449707207204
90,11,7,11,7,11,5,9,9,14,7,58.05,1.62,1.6180339887498948482045868343656381177203091798057628621354486227052604628189024497072072041
91,11,7,11,7,11,5,9,9,15,7,59.23,1.18,1.61803398874989484820458683436563811772030917980576286213544862270526046281890244970720720418
92,11,7,11,7,11,5,9,9,15,8,61.14,1.91,1.618033988749894848204586834365638117720309179805762862135448622705260462818902449707207204189
93,11,7,11,8,11,5,9,9,15,8,62.76,1.62,1.6180339887498948482045868343656381177203091798057628621354486227052604628189024497072072041893
94,11,7,11,8,11,5,9,9,15,9,64.67,1.91,1.61803398874989484820458683436563811772030917980576286213544862270526046281890244970720720418939
95,11,8,11,8,11,5,9,9,15,9,66.29,1.62,1.618033988749894848204586834365638117720309179805762862135448622705260462818902449707207204189391
96,11,9,11,8,11,5,9,9,15,9,67.91,1.62,1.6180339887498948482045868343656381177203091798057628621354486227052604628189024497072072041893911
97,11,9,11,9,11,5,9,9,15,9,69.53,1.62,1.61803398874989484820458683436563811772030917980576286213544862270526046281890244970720720418939113
98,11,9,11,9,11,5,9,10,15,9,71.29,1.76,1.618033988749894848204586834365638117720309179805762862135448622705260462818902449707207204189391137
99,11,9,11,9,11,6,9,10,15,9,72.76,1.47,1.6180339887498948482045868343656381177203091798057628621354486227052604628189024497072072041893911375
